            angle	Ex=0.000(1g9/2)HSS,KD	Ex=0.000(1g9/2)HSS,BG	Ex=0.000(1g9/2)AC,KD	Ex=0.000(1g9/2)AC,BG	Ex=0.000(1g9/2)DCV,KD	Ex=0.000(1g9/2)DCV,BG	
            138.00          1.425300          1.229300          1.176600          1.022100          1.233600          1.078800
            139.00          1.415600          1.218400          1.167700          1.012300          1.225100          1.069600
            140.00          1.405700          1.207400          1.158700          1.002700          1.216600          1.060700
            141.00          1.395700          1.196600          1.149700          0.993200          1.208200          1.051900
            142.00          1.385600          1.185800          1.140700          0.983940          1.200000          1.043400
            143.00          1.375400          1.175200          1.131900          0.974920          1.191900          1.035200
            144.00          1.365300          1.164800          1.123200          0.966180          1.184000          1.027200
            145.00          1.355200          1.154600          1.114700          0.957740          1.176400          1.019600
            146.00          1.345300          1.144800          1.106400          0.949620          1.169000          1.012300
            147.00          1.335500          1.135200          1.098400          0.941840          1.161900          1.005300
            148.00          1.326000          1.126000          1.090600          0.934420          1.155000          0.998710
            149.00          1.316700          1.117100          1.083100          0.927360          1.148500          0.992420
            150.00          1.307600          1.108700          1.076000          0.920660          1.142400          0.986470
            151.00          1.298900          1.100600          1.069100          0.914340          1.136500          0.980870
            152.00          1.290500          1.092900          1.062700          0.908380          1.131000          0.975590
            153.00          1.282500          1.085600          1.056500          0.902780          1.125800          0.970640
            154.00          1.274800          1.078700          1.050700          0.897540          1.120900          0.966010
            155.00          1.267500          1.072200          1.045300          0.892640          1.116300          0.961680
            156.00          1.260600          1.066100          1.040200          0.888070          1.112100          0.957640
            157.00          1.254100          1.060400          1.035400          0.883820          1.108200          0.953880
            158.00          1.248000          1.055000          1.031000          0.879880          1.104600          0.950390
            159.00          1.242200          1.050000          1.026900          0.876230          1.101300          0.947150
            160.00          1.236800          1.045400          1.023100          0.872850          1.098200          0.944150
            161.00          1.231800          1.041100          1.019600          0.869740          1.095500          0.941380
            162.00          1.227100          1.037100          1.016400          0.866870          1.092900          0.938820
            163.00          1.222800          1.033400          1.013500          0.864240          1.090600          0.936460
            164.00          1.218900          1.030000          1.010800          0.861830          1.088600          0.934290
            165.00          1.215200          1.026900          1.008400          0.859620          1.086700          0.932310
            166.00          1.211900          1.024000          1.006200          0.857610          1.085000          0.930490
            167.00          1.208800          1.021400          1.004300          0.855780          1.083500          0.928830
            168.00          1.206100          1.019000          1.002500          0.854120          1.082200          0.927330
            169.00          1.203600          1.016900          1.000900          0.852630          1.081000          0.925970
            170.00          1.201400          1.015000          0.999540          0.851300          1.080000          0.924750
            171.00          1.199400          1.013300          0.998310          0.850110          1.079100          0.923670
            172.00          1.197700          1.011700          0.997240          0.849070          1.078300          0.922710
            173.00          1.196200          1.010400          0.996320          0.848160          1.077700          0.921870
            174.00          1.194900          1.009300          0.995540          0.847390          1.077100          0.921150
