            angle	Ex=0.000(d:DCV,3He:XHS)	Ex=0.000(d:DCV,3He:LLC)	Ex=0.000(d:HSS,3He:LLC)	Ex=0.298(d:DCV,3He:XHS)	Ex=0.298(d:DCV,3He:LLC)	Ex=0.298(d:HSS,3He:LLC)	
            126.00          0.000147          0.001373          0.000374          0.000159          0.001419          0.000376
            127.00          0.000132          0.001280          0.000345          0.000142          0.001324          0.000347
            128.00          0.000118          0.001193          0.000318          0.000127          0.001236          0.000320
            129.00          0.000105          0.001112          0.000293          0.000114          0.001152          0.000295
            130.00          0.000094          0.001036          0.000271          0.000102          0.001074          0.000273
            131.00          0.000084          0.000966          0.000252          0.000091          0.001001          0.000253
            132.00          0.000076          0.000902          0.000236          0.000081          0.000934          0.000236
            133.00          0.000069          0.000843          0.000222          0.000073          0.000871          0.000222
            134.00          0.000063          0.000788          0.000210          0.000066          0.000814          0.000210
            135.00          0.000057          0.000738          0.000200          0.000061          0.000762          0.000199
            136.00          0.000053          0.000693          0.000192          0.000056          0.000713          0.000190
            137.00          0.000049          0.000651          0.000184          0.000052          0.000669          0.000182
            138.00          0.000046          0.000612          0.000178          0.000048          0.000629          0.000175
            139.00          0.000043          0.000577          0.000172          0.000045          0.000592          0.000169
            140.00          0.000041          0.000544          0.000166          0.000043          0.000558          0.000163
            141.00          0.000038          0.000514          0.000160          0.000041          0.000527          0.000157
            142.00          0.000036          0.000486          0.000154          0.000038          0.000499          0.000151
            143.00          0.000034          0.000460          0.000148          0.000036          0.000474          0.000146
            144.00          0.000032          0.000437          0.000142          0.000034          0.000450          0.000140
            145.00          0.000029          0.000415          0.000136          0.000032          0.000429          0.000134
            146.00          0.000027          0.000395          0.000130          0.000030          0.000409          0.000129
            147.00          0.000025          0.000376          0.000124          0.000028          0.000391          0.000123
            148.00          0.000023          0.000358          0.000118          0.000025          0.000373          0.000118
            149.00          0.000021          0.000341          0.000113          0.000023          0.000356          0.000112
            150.00          0.000019          0.000324          0.000108          0.000021          0.000340          0.000107
            151.00          0.000017          0.000307          0.000102          0.000019          0.000323          0.000102
            152.00          0.000015          0.000290          0.000098          0.000017          0.000306          0.000098
            153.00          0.000013          0.000274          0.000093          0.000015          0.000289          0.000093
            154.00          0.000012          0.000257          0.000088          0.000013          0.000271          0.000089
            155.00          0.000010          0.000240          0.000084          0.000011          0.000254          0.000085
            156.00          0.000009          0.000224          0.000081          0.000010          0.000237          0.000081
            157.00          0.000008          0.000209          0.000077          0.000008          0.000220          0.000077
            158.00          0.000007          0.000195          0.000074          0.000007          0.000205          0.000074
            159.00          0.000006          0.000182          0.000072          0.000006          0.000192          0.000072
            160.00          0.000005          0.000172          0.000071          0.000006          0.000180          0.000070
            161.00          0.000005          0.000164          0.000070          0.000005          0.000172          0.000070
            162.00          0.000005          0.000159          0.000071          0.000005          0.000166          0.000070
            163.00          0.000005          0.000157          0.000072          0.000005          0.000164          0.000072
            164.00          0.000005          0.000159          0.000075          0.000005          0.000165          0.000075
            165.00          0.000005          0.000163          0.000080          0.000005          0.000170          0.000079
            166.00          0.000005          0.000171          0.000086          0.000005          0.000178          0.000085
            167.00          0.000006          0.000181          0.000093          0.000006          0.000189          0.000093
            168.00          0.000006          0.000194          0.000101          0.000006          0.000202          0.000101
            169.00          0.000007          0.000208          0.000110          0.000007          0.000218          0.000110
