#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
   Angel	  Ex=0.000(1g9/2)AK  Ex=0.000(1g9/2)QV  Ex=0.000(1g9/2)AM  Ex=0.000(1g9/2)AG  Ex=0.000(1g9/2)AP  Ex=0.000(1g9/2)HK  Ex=0.000(1g9/2)HV  Ex=0.000(1g9/2)HM  Ex=0.000(1g9/2)HG  Ex=0.000(1g9/2)HP  Ex=0.000(1g9/2)BK  Ex=0.000(1g9/2)BV  Ex=0.000(1g9/2)BM  Ex=0.000(1g9/2)BG  Ex=0.000(1g9/2)BP  Ex=0.000(1g9/2)DK  Ex=0.000(1g9/2)DV  Ex=0.000(1g9/2)DM  Ex=0.000(1g9/2)DG  Ex=0.000(1g9/2)DP  Ex=0.000(1g9/2)LK  Ex=0.000(1g9/2)LV  Ex=0.000(1g9/2)LM  Ex=0.000(1g9/2)LG  Ex=0.000(1g9/2)LP  Ex=0.000(1g9/2)QK  Ex=0.000(1g9/2)QV  Ex=0.000(1g9/2)QM  Ex=0.000(1g9/2)QG  Ex=0.000(1g9/2)QP
  11.500	           0.504620           0.239840           0.203690           2.663600           0.828310           0.400580           0.345320           0.219560           2.564300           0.711270           0.570000           0.370020           0.163580           2.137300           0.836510           0.505530           0.366220           0.185390           2.483500           0.806270           0.648790           0.443230           0.340140           1.715800           0.677000           0.402050           0.239840           0.105650           1.652300           0.579430
  12.000	           0.528290           0.259610           0.210510           2.683400           0.857740           0.420420           0.358450           0.223340           2.583200           0.737450           0.602960           0.396440           0.178480           2.183300           0.876590           0.527690           0.381900           0.192200           2.499500           0.833160           0.681230           0.469870           0.357940           1.772500           0.715330           0.427430           0.259610           0.117100           1.684600           0.609860
  12.500	           0.553830           0.280820           0.218590           2.707300           0.889400           0.441910           0.373090           0.228140           2.605600           0.765650           0.637800           0.424660           0.194730           2.233600           0.918880           0.551740           0.399300           0.200270           2.519500           0.862260           0.714190           0.497120           0.376140           1.832100           0.754500           0.454340           0.280820           0.129600           1.720800           0.642130
  13.000	           0.581290           0.303500           0.228000           2.735300           0.923340           0.465090           0.389310           0.234060           2.631800           0.795940           0.674520           0.454710           0.212410           2.288600           0.963390           0.577740           0.418530           0.209700           2.543500           0.893640           0.747560           0.524890           0.394700           1.894600           0.794380           0.482780           0.303500           0.143210           1.761100           0.676240
  13.500	           0.610720           0.327680           0.238850           2.767700           0.959570           0.490040           0.407200           0.241180           2.662000           0.828350           0.713110           0.486620           0.231550           2.348300           1.010100           0.605710           0.439630           0.220550           2.572000           0.927320           0.781210           0.553090           0.413580           1.959900           0.834820           0.512750           0.327680           0.157960           1.805600           0.712180
  14.000	           0.642130           0.353360           0.251190           2.804800           0.998130           0.516790           0.426840           0.249600           2.696400           0.862940           0.753550           0.520390           0.252210           2.412700           1.058900           0.635700           0.462670           0.232900           2.605100           0.963340           0.814990           0.581640           0.432720           2.027800           0.875680           0.544230           0.353360           0.173890           1.854400           0.749930
  14.500	           0.675540           0.380570           0.265100           2.846600           1.039000           0.545410           0.448300           0.259410           2.735100           0.899740           0.795800           0.556030           0.274410           2.482100           1.109900           0.667710           0.487690           0.246820           2.642900           1.001700           0.848790           0.610440           0.452070           2.098100           0.916800           0.577210           0.380570           0.191040           1.907700           0.789450
  15.000	           0.710950           0.409300           0.280660           2.893300           1.082200           0.575910           0.471640           0.270690           2.778300           0.938770           0.839840           0.593530           0.298190           2.556300           1.162800           0.701760           0.514740           0.262370           2.685700           1.042400           0.882450           0.639400           0.471590           2.170700           0.958020           0.611640           0.409300           0.209440           1.965600           0.830710
  15.500	           0.748360           0.439540           0.297900           2.944900           1.127700           0.608320           0.496930           0.283530           2.826100           0.980030           0.885590           0.632870           0.323580           2.635400           1.217700           0.737830           0.543840           0.279610           2.733600           1.085400           0.915850           0.668410           0.491230           2.245100           0.999180           0.647480           0.439540           0.229110           2.027900           0.873640
  16.000	           0.787730           0.471290           0.316890           3.001600           1.175400           0.642670           0.524200           0.298000           2.878600           1.023500           0.932990           0.674030           0.350580           2.719300           1.274500           0.775890           0.574990           0.298570           2.786500           1.130600           0.948840           0.697380           0.510950           2.321200           1.040100           0.684690           0.471290           0.250070           2.094700           0.918170
