#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
   Angel	  Ex=2.340(2d5/2)AK  Ex=2.340(2d5/2)QV  Ex=2.340(2d5/2)AM  Ex=2.340(2d5/2)AG  Ex=2.340(2d5/2)AP  Ex=2.340(2d5/2)HK  Ex=2.340(2d5/2)HV  Ex=2.340(2d5/2)HM  Ex=2.340(2d5/2)HG  Ex=2.340(2d5/2)HP  Ex=2.340(2d5/2)BK  Ex=2.340(2d5/2)BV  Ex=2.340(2d5/2)BM  Ex=2.340(2d5/2)BG  Ex=2.340(2d5/2)BP  Ex=2.340(2d5/2)DK  Ex=2.340(2d5/2)DV  Ex=2.340(2d5/2)DM  Ex=2.340(2d5/2)DG  Ex=2.340(2d5/2)DP  Ex=2.340(2d5/2)LK  Ex=2.340(2d5/2)LV  Ex=2.340(2d5/2)LM  Ex=2.340(2d5/2)LG  Ex=2.340(2d5/2)LP  Ex=2.340(2d5/2)QK  Ex=2.340(2d5/2)QV  Ex=2.340(2d5/2)QM  Ex=2.340(2d5/2)QG  Ex=2.340(2d5/2)QP
  13.000	           3.341200           2.317600           2.560100           9.083500           4.115900           4.340400           3.797900           3.149400          12.319000           5.446700           2.835600           2.631100           2.601800           7.349000           3.357100           2.920200           2.525500           2.297900           7.864800           3.570300           2.364200           2.308800           2.020700           8.549800           3.059000           2.494600           2.317600           2.200200           7.720100           3.078000
  13.500	           3.399300           2.419900           2.649500           9.185800           4.175100           4.411800           3.892300           3.260400          12.411000           5.515400           2.894600           2.712200           2.697700           7.438500           3.413300           2.974100           2.598200           2.379700           7.969800           3.626100           2.474100           2.437100           2.160600           8.689200           3.171200           2.578900           2.419900           2.316100           7.829500           3.160400
  14.000	           3.447600           2.519500           2.733800           9.270900           4.222200           4.472200           3.978300           3.365700          12.483000           5.570800           2.947100           2.788300           2.790300           7.513400           3.460900           3.018700           2.663900           2.456800           8.059000           3.670600           2.581600           2.565200           2.301900           8.819600           3.279600           2.658600           2.519500           2.430900           7.928300           3.236500
  14.500	           3.486100           2.616700           2.813100           9.337800           4.257300           4.521600           4.055700           3.465200          12.535000           5.612700           2.993600           2.859800           2.879800           7.573300           3.500500           3.054300           2.722700           2.529500           8.131600           3.704000           2.687000           2.692900           2.444800           8.940100           3.383900           2.734100           2.616700           2.544800           8.015800           3.306500
  15.000	           3.515300           2.711700           2.887800           9.386300           4.280700           4.560400           4.124800           3.559400          12.566000           5.641700           3.034600           2.927100           2.966900           7.618200           3.532700           3.081300           2.775000           2.598100           8.187200           3.726400           2.790400           2.820400           2.589500           9.050300           3.484300           2.805700           2.711700           2.658300           8.091200           3.371100
  15.500	           3.535900           2.805000           2.958400           9.414200           4.293100           4.589100           4.186000           3.648600          12.573000           5.657000           3.071200           2.991200           3.052300           7.646600           3.558300           3.100500           2.821400           2.663300           8.223800           3.738600           2.892200           2.947900           2.736100           9.147500           3.581000           2.874100           2.805000           2.772000           8.154100           3.429900
  16.000	           3.548900           2.897600           3.025900           9.423100           4.295200           4.608600           4.239800           3.733500          12.558000           5.660700           3.104500           3.052900           3.137100           7.660400           3.578600           3.112700           2.862700           2.726000           8.243000           3.741500           2.993100           3.075900           2.885300           9.233200           3.674600           2.940200           2.897600           2.886500           8.204300           3.484600
  16.500	           3.555500           2.990100           3.091000           9.412700           4.288400           4.619900           4.287300           3.814900          12.521000           5.653400           3.136000           3.113500           3.222100           7.659500           3.594900           3.119300           2.899900           2.787000           8.244300           3.736300           3.093700           3.204900           3.037300           9.306400           3.765700           3.005100           2.990100           3.002800           8.242000           3.536000
  17.000	           3.557100           3.083600           3.155000           9.383300           4.273900           4.624500           4.329500           3.893800          12.462000           5.636500           3.167300           3.174300           3.308700           7.644800           3.608900           3.121700           2.934200           2.847600           8.228200           3.724300           3.194900           3.335400           3.192900           9.367100           3.855000           3.070000           3.083600           3.121800           8.267300           3.585300
  17.500	           3.555300           3.179400           3.219100           9.335800           4.253500           4.623700           4.367500           3.971300          12.381000           5.611300           3.199900           3.236700           3.398100           7.617400           3.622200           3.121400           2.966900           2.908800           8.195300           3.707200           3.297500           3.468100           3.352400           9.415100           3.943500           3.136300           3.179400           3.244500           8.280800           3.633800
  18.000	           3.551800           3.278400           3.284300           9.271100           4.228800           4.619300           4.402700           4.048500          12.279000           5.579600           3.235800           3.302200           3.491600           7.578400           3.636800           3.120200           2.999500           2.972100           8.146700           3.686700           3.402500           3.603600           3.516400           9.451000           4.032000           3.205500           3.278400           3.372000           8.283100           3.683100
  18.500	           3.548500           3.382000           3.352100           9.190500           4.201800           4.613000           4.436700           4.126700          12.159000           5.543400           3.276600           3.372300           3.590400           7.529400           3.654500           3.119900           3.033500           3.038600           8.083400           3.664700           3.510800           3.742600           3.685500           9.474600           4.121500           3.278900           3.382000           3.505300           8.275100           3.734600
  19.000	           3.547300           3.491200           3.423800           9.095400           4.174500           4.606800           4.470700           4.206900          12.020000           5.504600           3.324200           3.448400           3.695800           7.471900           3.677300           3.122300           3.070300           3.109700           8.006900           3.643100           3.623400           3.885700           3.860000           9.486900           4.213100           3.358100           3.491200           3.645400           8.257800           3.790100
  19.500	           3.549900           3.607300           3.500400           8.987300           4.148800           4.602300           4.506300           4.290400          11.865000           5.465200           3.380200           3.532100           3.808900           7.407600           3.707000           3.129300           3.111600           3.186600           7.918600           3.624100           3.741100           4.033500           4.040200           9.488200           4.307600           3.444500           3.607300           3.793100           8.232200           3.850900
  20.000	           3.558200           3.731200           3.583100           8.868000           4.126800           4.601500           4.545000           4.378200          11.696000           5.427100           3.446500           3.624500           3.930600           7.338200           3.745600           3.142600           3.158600           3.270300           7.820000           3.609400           3.864700           4.186200           4.226300           9.479300           4.405900           3.539500           3.731200           3.949200           8.199700           3.918600
  20.500	           3.573900           3.863800           3.672800           8.739300           4.110500           4.606200           4.588000           4.471200          11.514000           5.392500           3.524300           3.726900           4.061800           7.265600           3.794700           3.164100           3.212800           3.361900           7.713100           3.601100           3.994700           4.344300           4.418200           9.460700           4.508700           3.644300           3.863800           4.114200           8.161300           3.994700
  21.000	           3.598700           4.005900           3.770500           8.603200           4.101600           4.617900           4.636700           4.570300          11.321000           5.363300           3.615000           3.840200           4.203000           7.191600           3.855800           3.195300           3.275400           3.462100           7.599500           3.601000           4.131600           4.507900           4.615800           9.433400           4.616900           3.760000           4.005900           4.288600           8.118500           4.080400
  21.500	           3.634000           4.158100           3.876700           8.461600           4.101900           4.638300           4.692200           4.676100          11.120000           5.341300           3.719800           3.965300           4.354700           7.118000           3.930400           3.237500           3.347500           3.571700           7.481000           3.610700           4.275800           4.676800           4.818600           9.398100           4.730700           3.887500           4.158100           4.472500           8.072600           4.176900
  22.000	           3.681100           4.320700           3.991900           8.316500           4.113000           4.668800           4.755400           4.789000          10.913000           5.328200           3.839400           4.102600           4.517100           7.046500           4.019500           3.292200           3.429900           3.690900           7.359700           3.631900           4.427300           4.851000           5.026200           9.355700           4.850600           4.027500           4.320700           4.665900           8.024800           4.285100
  22.500	           3.741100           4.493900           4.116300           8.170000           4.136300           4.710600           4.827300           4.909400          10.702000           5.325600           3.974600           4.252600           4.690000           6.978800           4.124100           3.360400           3.523500           3.820200           7.237300           3.665800           4.586100           5.030000           5.237700           9.306800           4.976800           4.180500           4.493900           4.868700           7.976500           4.405800
  23.000	           3.814900           4.677700           4.250100           8.024000           4.173100           4.764700           4.908500           5.037400          10.490000           5.335000           4.125600           4.415400           4.873200           6.916600           4.244900           3.442900           3.628600           3.959600           7.115800           3.713700           4.751900           5.213400           5.452200           9.252600           5.109300           4.346800           4.677700           5.080300           7.929100           4.539700
  23.500	           3.903300           4.872000           4.393100           7.880500           4.224500           4.832000           4.999500           5.173000          10.278000           5.357500           4.292600           4.590800           5.066300           6.861300           4.382300           3.540300           3.745700           4.108900           6.996900           3.776500           4.924300           5.400400           5.668800           9.193500           5.247900           4.526500           4.872000           5.300300           7.883800           4.687000
  24.000	           4.006700           5.076300           4.545100           7.741800           4.291100           4.913200           5.100700           5.316000          10.070000           5.394400           4.475600           4.778600           5.268400           6.814700           4.536500           3.653300           3.874900           4.267700           6.882800           3.855200           5.102800           5.590300           5.886200           9.131100           5.392400           4.719500           5.076300           5.527700           7.841900           4.848200
  24.500	           4.125300           5.290100           4.705500           7.609500           4.373800           5.008700           5.212300           5.466100           9.867500           5.446400           4.674100           4.978300           5.478900           6.778000           4.707600           3.781900           4.016200           4.435700           6.775000           3.950200           5.286600           5.782100           6.103100           9.065800           5.542400           4.925500           5.290100           5.761600           7.804800           5.023000
  25.000	           4.259400           5.512700           4.873900           7.485800           4.473000           5.119000           5.334400           5.622700           9.672900           5.514300           4.887600           5.189200           5.696500           6.752600           4.895200           3.926200           4.169400           4.612300           6.675500           4.061900           5.474900           5.975000           6.318300           8.998800           5.697500           5.144000           5.512700           6.001100           7.773800           5.211500
  25.500	           4.408800           5.743500           5.049500           7.372600           4.588900           5.244100           5.466900           5.785500           9.488700           5.598700           5.115500           5.410600           5.920300           6.739700           5.099000           4.086300           4.334300           4.796600           6.586100           4.190700           5.666900           6.167800           6.530300           8.931100           5.857000           5.374400           5.743500           6.244900           7.750100           5.413200
  26.000	           4.573400           5.981600           5.231600           7.271800           4.721800           5.384200           5.609700           5.953700           9.317300           5.700000           5.356800           5.641400           6.149100           6.740700           5.318400           4.261700           4.510500           4.987900           6.508500           4.336600           5.861500           6.359600           6.737900           8.863900           6.020400           5.616100           5.981600           6.491900           7.735200           5.628000
  26.500	           4.752700           6.226000           5.419500           7.185400           4.871600           5.539100           5.762700           6.126900           9.161100           5.818500           5.610600           5.880700           6.381700           6.756700           5.552700           4.452100           4.697400           5.185300           6.444600           4.499500           6.058000           6.549400           6.939900           8.798400           6.187000           5.868100           6.226000           6.740800           7.730300           5.855100
  27.000	           4.946400           6.476000           5.612200           7.115100           5.038300           5.708700           5.925700           6.304400           9.022600           5.954500           5.875800           6.127500           6.616800           6.788800           5.801000           4.657000           4.894600           5.388100           6.396200           4.679300           6.255300           6.736300           7.135100           8.735900           6.356200           6.129600           6.476000           6.990700           7.736800           6.094100
