            angle	Ex=1.808(p:Menet,d:DCV)	Ex=1.808(p:KD,d:DCV)	Ex=1.808(p:Varmar,d:DCV)	Ex=1.808(p:BG,d:DCV(re))	Ex=1.808(p:Menet,d:LH)	Ex=1.808(p:Menet,d:Custom)	Ex=1.808(p:Menet,d:DCV(nonREL))	Ex=1.808(p:Menet,d:AC)	
            27.40	         0.629890	         0.597910	         0.487800	         0.452860	         0.927100	         1.091200	         0.600240	         0.608190	
            27.50	         0.640150	         0.604290	         0.495660	         0.458880	         0.945090	         1.105500	         0.611380	         0.619140	
            27.60	         0.650530	         0.610920	         0.503750	         0.465130	         0.962970	         1.119600	         0.622650	         0.630200	
            27.70	         0.661020	         0.617770	         0.512050	         0.471580	         0.980720	         1.133400	         0.634010	         0.641360	
            27.80	         0.671600	         0.624830	         0.520550	         0.478220	         0.998330	         1.147000	         0.645470	         0.652590	
            27.90	         0.682260	         0.632080	         0.529240	         0.485040	         1.015800	         1.160300	         0.657000	         0.663890	
            28.00	         0.692990	         0.639500	         0.538090	         0.492010	         1.033100	         1.173400	         0.668580	         0.675230	
            28.10	         0.703760	         0.647090	         0.547090	         0.499130	         1.050200	         1.186200	         0.680210	         0.686610	
            28.20	         0.714570	         0.654810	         0.556220	         0.506380	         1.067100	         1.198700	         0.691870	         0.698000	
            28.30	         0.725400	         0.662660	         0.565470	         0.513730	         1.083900	         1.211000	         0.703540	         0.709390	
            28.40	         0.736230	         0.670620	         0.574820	         0.521190	         1.100400	         1.222900	         0.715210	         0.720780	
            28.50	         0.747050	         0.678680	         0.584260	         0.528720	         1.116700	         1.234600	         0.726860	         0.732140	
            28.60	         0.757850	         0.686810	         0.593770	         0.536330	         1.132800	         1.245900	         0.738490	         0.743460	
            28.70	         0.768620	         0.695020	         0.603340	         0.543990	         1.148700	         1.257000	         0.750070	         0.754730	
            28.80	         0.779340	         0.703270	         0.612950	         0.551700	         1.164300	         1.267800	         0.761600	         0.765940	
            28.90	         0.789990	         0.711570	         0.622590	         0.559430	         1.179600	         1.278200	         0.773070	         0.777070	
            29.00	         0.800580	         0.719880	         0.632240	         0.567190	         1.194700	         1.288400	         0.784460	         0.788120	
            29.10	         0.811090	         0.728210	         0.641900	         0.574940	         1.209500	         1.298200	         0.795750	         0.799070	
            29.20	         0.821490	         0.736540	         0.651550	         0.582690	         1.224000	         1.307700	         0.806950	         0.809900	
            29.30	         0.831800	         0.744860	         0.661170	         0.590420	         1.238200	         1.316900	         0.818030	         0.820620	
            29.40	         0.841980	         0.753150	         0.670760	         0.598120	         1.252200	         1.325700	         0.828990	         0.831210	
            29.50	         0.852040	         0.761400	         0.680300	         0.605770	         1.265800	         1.334200	         0.839820	         0.841650	
            29.60	         0.861970	         0.769600	         0.689790	         0.613380	         1.279100	         1.342400	         0.850500	         0.851950	
            29.70	         0.871740	         0.777740	         0.699210	         0.620920	         1.292100	         1.350300	         0.861030	         0.862080	
            29.80	         0.881360	         0.785810	         0.708540	         0.628380	         1.304800	         1.357800	         0.871400	         0.872050	
            29.90	         0.890820	         0.793800	         0.717790	         0.635770	         1.317200	         1.364900	         0.881590	         0.881830	
            30.00	         0.900100	         0.801700	         0.726930	         0.643060	         1.329200	         1.371800	         0.891600	         0.891430	
            30.10	         0.909200	         0.809490	         0.735970	         0.650260	         1.340800	         1.378300	         0.901430	         0.900830	
            30.20	         0.918110	         0.817180	         0.744880	         0.657340	         1.352200	         1.384400	         0.911050	         0.910030	
            30.30	         0.926820	         0.824740	         0.753670	         0.664300	         1.363100	         1.390200	         0.920470	         0.919020	
            30.40	         0.935330	         0.832170	         0.762320	         0.671140	         1.373700	         1.395700	         0.929680	         0.927780	
            30.50	         0.943630	         0.839470	         0.770820	         0.677840	         1.384000	         1.400800	         0.938670	         0.936330	
            30.60	         0.951700	         0.846620	         0.779170	         0.684400	         1.393900	         1.405600	         0.947430	         0.944640	
            30.70	         0.959550	         0.853610	         0.787350	         0.690810	         1.403400	         1.410000	         0.955950	         0.952710	
            30.80	         0.967170	         0.860450	         0.795360	         0.697060	         1.412600	         1.414000	         0.964240	         0.960540	
            30.90	         0.974550	         0.867110	         0.803200	         0.703150	         1.421300	         1.417800	         0.972280	         0.968120	
            31.00	         0.981690	         0.873600	         0.810850	         0.709070	         1.429700	         1.421200	         0.980070	         0.975450	
            31.10	         0.988580	         0.879900	         0.818310	         0.714820	         1.437800	         1.424200	         0.987600	         0.982510	
            31.20	         0.995210	         0.886020	         0.825570	         0.720380	         1.445400	         1.426900	         0.994870	         0.989310	
            31.30	         1.001600	         0.891930	         0.832620	         0.725760	         1.452600	         1.429200	         1.001900	         0.995840	
            31.40	         1.007700	         0.897650	         0.839470	         0.730950	         1.459500	         1.431200	         1.008600	         1.002100	
            31.50	         1.013500	         0.903160	         0.846100	         0.735930	         1.466000	         1.432900	         1.015100	         1.008100	
            31.60	         1.019100	         0.908460	         0.852510	         0.740720	         1.472100	         1.434200	         1.021200	         1.013800	
            31.70	         1.024400	         0.913540	         0.858690	         0.745300	         1.477800	         1.435200	         1.027100	         1.019200	
            31.80	         1.029400	         0.918400	         0.864650	         0.749670	         1.483100	         1.435800	         1.032700	         1.024300	
            31.90	         1.034200	         0.923030	         0.870370	         0.753830	         1.488000	         1.436100	         1.038100	         1.029100	
            32.00	         1.038600	         0.927430	         0.875850	         0.757770	         1.492500	         1.436100	         1.043100	         1.033700	
            32.10	         1.042800	         0.931600	         0.881080	         0.761490	         1.496700	         1.435800	         1.047800	         1.037900	
            32.20	         1.046700	         0.935530	         0.886070	         0.764980	         1.500400	         1.435100	         1.052300	         1.041800	
            32.30	         1.050300	         0.939220	         0.890820	         0.768250	         1.503700	         1.434100	         1.056400	         1.045500	
            32.40	         1.053600	         0.942660	         0.895300	         0.771290	         1.506700	         1.432700	         1.060200	         1.048800	
            32.50	         1.056600	         0.945860	         0.899540	         0.774100	         1.509300	         1.431100	         1.063800	         1.051900	
            32.60	         1.059300	         0.948810	         0.903510	         0.776670	         1.511500	         1.429100	         1.067000	         1.054600	
            32.70	         1.061800	         0.951500	         0.907220	         0.779010	         1.513300	         1.426800	         1.069900	         1.057000	
            32.80	         1.063900	         0.953940	         0.910680	         0.781110	         1.514700	         1.424200	         1.072500	         1.059100	
            32.90	         1.065700	         0.956130	         0.913860	         0.782970	         1.515700	         1.421300	         1.074800	         1.061000	
            33.00	         1.067200	         0.958060	         0.916780	         0.784600	         1.516300	         1.418100	         1.076900	         1.062500	
            33.10	         1.068500	         0.959730	         0.919440	         0.785980	         1.516600	         1.414600	         1.078600	         1.063700	
            33.20	         1.069400	         0.961140	         0.921820	         0.787130	         1.516500	         1.410800	         1.079900	         1.064600	
            33.30	         1.070000	         0.962290	         0.923940	         0.788030	         1.516000	         1.406700	         1.081000	         1.065200	
            33.40	         1.070400	         0.963170	         0.925790	         0.788690	         1.515100	         1.402300	         1.081800	         1.065500	
            33.50	         1.070400	         0.963800	         0.927360	         0.789110	         1.513900	         1.397600	         1.082300	         1.065500	
            33.60	         1.070200	         0.964160	         0.928670	         0.789290	         1.512200	         1.392700	         1.082500	         1.065200	
            33.70	         1.069600	         0.964270	         0.929710	         0.789230	         1.510300	         1.387400	         1.082300	         1.064600	
            33.80	         1.068800	         0.964110	         0.930470	         0.788930	         1.507900	         1.381900	         1.081900	         1.063600	
            33.90	         1.067700	         0.963690	         0.930970	         0.788380	         1.505200	         1.376100	         1.081200	         1.062400	
            34.00	         1.066300	         0.963010	         0.931190	         0.787610	         1.502200	         1.370100	         1.080100	         1.060900	
            34.10	         1.064600	         0.962070	         0.931150	         0.786590	         1.498800	         1.363800	         1.078800	         1.059200	
            34.20	         1.062600	         0.960870	         0.930840	         0.785340	         1.495100	         1.357200	         1.077200	         1.057100	
            34.30	         1.060300	         0.959410	         0.930270	         0.783850	         1.491000	         1.350400	         1.075300	         1.054700	
            34.40	         1.057800	         0.957700	         0.929430	         0.782130	         1.486500	         1.343300	         1.073100	         1.052000	
            34.50	         1.055000	         0.955730	         0.928330	         0.780180	         1.481800	         1.336000	         1.070600	         1.049100	
            34.60	         1.051900	         0.953510	         0.926960	         0.778000	         1.476700	         1.328500	         1.067800	         1.045900	
            34.70	         1.048500	         0.951040	         0.925340	         0.775590	         1.471300	         1.320700	         1.064800	         1.042400	
            34.80	         1.044900	         0.948320	         0.923460	         0.772960	         1.465500	         1.312700	         1.061500	         1.038600	
            34.90	         1.041000	         0.945350	         0.921320	         0.770110	         1.459500	         1.304500	         1.057900	         1.034600	
            35.00	         1.036800	         0.942140	         0.918930	         0.767040	         1.453100	         1.296100	         1.054000	         1.030300	
            35.10	         1.032400	         0.938690	         0.916290	         0.763750	         1.446400	         1.287400	         1.049900	         1.025700	
            35.20	         1.027700	         0.935000	         0.913400	         0.760250	         1.439500	         1.278500	         1.045500	         1.020900	
            35.30	         1.022800	         0.931080	         0.910270	         0.756540	         1.432200	         1.269500	         1.040800	         1.015800	
            35.40	         1.017600	         0.926920	         0.906890	         0.752620	         1.424600	         1.260200	         1.035900	         1.010500	
            35.50	         1.012200	         0.922530	         0.903280	         0.748500	         1.416800	         1.250800	         1.030700	         1.004900	
            35.60	         1.006600	         0.917910	         0.899430	         0.744180	         1.408600	         1.241100	         1.025300	         0.999090	
            35.70	         1.000700	         0.913070	         0.895350	         0.739660	         1.400200	         1.231300	         1.019600	         0.993040	
            35.80	         0.994570	         0.908010	         0.891040	         0.734940	         1.391600	         1.221300	         1.013700	         0.986750	
            35.90	         0.988230	         0.902740	         0.886500	         0.730040	         1.382600	         1.211100	         1.007600	         0.980240	
            36.00	         0.981670	         0.897250	         0.881750	         0.724950	         1.373400	         1.200800	         1.001200	         0.973500	
            36.10	         0.974900	         0.891560	         0.876770	         0.719680	         1.364000	         1.190300	         0.994630	         0.966540	
            36.20	         0.967920	         0.885660	         0.871590	         0.714230	         1.354300	         1.179600	         0.987810	         0.959370	
            36.30	         0.960720	         0.879560	         0.866190	         0.708610	         1.344400	         1.168900	         0.980790	         0.951990	
            36.40	         0.953330	         0.873260	         0.860590	         0.702820	         1.334200	         1.157900	         0.973550	         0.944410	
            36.50	         0.945740	         0.866770	         0.854780	         0.696860	         1.323800	         1.146800	         0.966100	         0.936620	
            36.60	         0.937960	         0.860090	         0.848780	         0.690740	         1.313200	         1.135600	         0.958460	         0.928650	
            36.70	         0.930000	         0.853230	         0.842590	         0.684470	         1.302400	         1.124300	         0.950620	         0.920490	
            36.80	         0.921850	         0.846200	         0.836200	         0.678050	         1.291300	         1.112800	         0.942590	         0.912140	
            36.90	         0.913530	         0.838980	         0.829640	         0.671470	         1.280100	         1.101200	         0.934380	         0.903620	
            37.00	         0.905040	         0.831600	         0.822890	         0.664760	         1.268700	         1.089500	         0.925980	         0.894920	
            37.10	         0.896380	         0.824050	         0.815980	         0.657910	         1.257000	         1.077700	         0.917420	         0.886060	
            37.20	         0.887570	         0.816350	         0.808890	         0.650920	         1.245200	         1.065800	         0.908680	         0.877040	
            37.30	         0.878600	         0.808490	         0.801640	         0.643810	         1.233200	         1.053800	         0.899780	         0.867870	
            37.40	         0.869480	         0.800470	         0.794220	         0.636570	         1.221000	         1.041800	         0.890730	         0.858540	
            37.50	         0.860220	         0.792320	         0.786660	         0.629220	         1.208700	         1.029600	         0.881520	         0.849080	
            37.60	         0.850830	         0.784020	         0.778940	         0.621750	         1.196200	         1.017300	         0.872170	         0.839470	
            37.70	         0.841300	         0.775590	         0.771080	         0.614170	         1.183600	         1.005000	         0.862670	         0.829740	
            37.80	         0.831650	         0.767030	         0.763080	         0.606490	         1.170800	         0.992600	         0.853040	         0.819870	
            37.90	         0.821870	         0.758340	         0.754940	         0.598710	         1.157900	         0.980140	         0.843290	         0.809890	
            38.00	         0.811990	         0.749530	         0.746680	         0.590840	         1.144800	         0.967620	         0.833410	         0.799790	
            38.10	         0.801990	         0.740610	         0.738290	         0.582880	         1.131600	         0.955050	         0.823410	         0.789590	
            38.20	         0.791900	         0.731580	         0.729780	         0.574840	         1.118300	         0.942420	         0.813300	         0.779280	
            38.30	         0.781700	         0.722450	         0.721160	         0.566720	         1.104900	         0.929750	         0.803090	         0.768880	
            38.40	         0.771420	         0.713220	         0.712430	         0.558520	         1.091300	         0.917050	         0.792770	         0.758380	
            38.50	         0.761040	         0.703900	         0.703590	         0.550260	         1.077700	         0.904310	         0.782370	         0.747800	
            38.60	         0.750590	         0.694480	         0.694660	         0.541940	         1.064000	         0.891540	         0.771870	         0.737140	
            38.70	         0.740070	         0.684990	         0.685640	         0.533560	         1.050100	         0.878740	         0.761290	         0.726410	
            38.80	         0.729480	         0.675420	         0.676530	         0.525130	         1.036200	         0.865930	         0.750640	         0.715610	
            38.90	         0.718830	         0.665770	         0.667330	         0.516650	         1.022200	         0.853100	         0.739910	         0.704750	
            39.00	         0.708120	         0.656060	         0.658070	         0.508130	         1.008200	         0.840260	         0.729120	         0.693840	
            39.10	         0.697360	         0.646290	         0.648720	         0.499570	         0.994070	         0.827410	         0.718270	         0.682870	
            39.20	         0.686550	         0.636460	         0.639320	         0.490980	         0.979900	         0.814560	         0.707370	         0.671860	
            39.30	         0.675710	         0.626590	         0.629850	         0.482360	         0.965670	         0.801720	         0.696420	         0.660820	
            39.40	         0.664830	         0.616670	         0.620330	         0.473730	         0.951390	         0.788890	         0.685430	         0.649740	
            39.50	         0.653920	         0.606700	         0.610760	         0.465080	         0.937070	         0.776070	         0.674400	         0.638630	
            39.60	         0.643000	         0.596710	         0.601140	         0.456410	         0.922720	         0.763260	         0.663340	         0.627510	
            39.70	         0.632050	         0.586690	         0.591490	         0.447750	         0.908340	         0.750480	         0.652260	         0.616360	
            39.80	         0.621100	         0.576640	         0.581800	         0.439080	         0.893940	         0.737720	         0.641160	         0.605210	
            39.90	         0.610140	         0.566570	         0.572080	         0.430410	         0.879520	         0.724990	         0.630050	         0.594060	
            40.00	         0.599180	         0.556490	         0.562340	         0.421750	         0.865090	         0.712290	         0.618930	         0.582910	
            40.10	         0.588220	         0.546410	         0.552570	         0.413110	         0.850650	         0.699640	         0.607800	         0.571760	
            40.20	         0.577280	         0.536320	         0.542800	         0.404490	         0.836220	         0.687020	         0.596680	         0.560630	
            40.30	         0.566350	         0.526230	         0.533020	         0.395890	         0.821790	         0.674450	         0.585570	         0.549520	
            40.40	         0.555450	         0.516150	         0.523230	         0.387320	         0.807370	         0.661930	         0.574470	         0.538430	
            40.50	         0.544570	         0.506080	         0.513450	         0.378780	         0.792960	         0.649470	         0.563390	         0.527370	
            40.60	         0.533720	         0.496040	         0.503680	         0.370280	         0.778580	         0.637060	         0.552340	         0.516340	
            40.70	         0.522910	         0.486010	         0.493910	         0.361830	         0.764230	         0.624710	         0.541310	         0.505360	
            40.80	         0.512150	         0.476010	         0.484160	         0.353420	         0.749910	         0.612430	         0.530330	         0.494410	
            40.90	         0.501430	         0.466050	         0.474440	         0.345060	         0.735630	         0.600210	         0.519380	         0.483520	
            41.00	         0.490760	         0.456120	         0.464740	         0.336760	         0.721390	         0.588070	         0.508480	         0.472690	
            41.10	         0.480150	         0.446230	         0.455080	         0.328520	         0.707200	         0.576000	         0.497620	         0.461910	
            41.20	         0.469610	         0.436390	         0.445440	         0.320340	         0.693060	         0.564010	         0.486830	         0.451200	
            41.30	         0.459130	         0.426610	         0.435860	         0.312240	         0.678980	         0.552100	         0.476090	         0.440550	
            41.40	         0.448720	         0.416880	         0.426310	         0.304210	         0.664970	         0.540280	         0.465420	         0.429990	
            41.50	         0.438390	         0.407210	         0.416820	         0.296250	         0.651020	         0.528540	         0.454810	         0.419500	
            41.60	         0.428140	         0.397600	         0.407380	         0.288380	         0.637140	         0.516890	         0.444290	         0.409090	
            41.70	         0.417970	         0.388070	         0.398000	         0.280600	         0.623340	         0.505340	         0.433840	         0.398770	
            41.80	         0.407900	         0.378610	         0.388680	         0.272900	         0.609620	         0.493890	         0.423470	         0.388550	
            41.90	         0.397920	         0.369230	         0.379430	         0.265300	         0.595990	         0.482530	         0.413200	         0.378420	
            42.00	         0.388040	         0.359930	         0.370260	         0.257800	         0.582440	         0.471280	         0.403010	         0.368400	
            42.10	         0.378260	         0.350720	         0.361150	         0.250400	         0.569000	         0.460130	         0.392920	         0.358480	
            42.20	         0.368590	         0.341600	         0.352130	         0.243110	         0.555650	         0.449090	         0.382940	         0.348670	
            42.30	         0.359040	         0.332580	         0.343200	         0.235930	         0.542400	         0.438150	         0.373060	         0.338980	
            42.40	         0.349590	         0.323660	         0.334350	         0.228850	         0.529260	         0.427330	         0.363280	         0.329400	
            42.50	         0.340270	         0.314840	         0.325600	         0.221900	         0.516230	         0.416630	         0.353630	         0.319950	
            42.60	         0.331070	         0.306130	         0.316940	         0.215060	         0.503310	         0.406040	         0.344080	         0.310620	
            42.70	         0.321990	         0.297520	         0.308380	         0.208350	         0.490520	         0.395570	         0.334660	         0.301420	
            42.80	         0.313050	         0.289040	         0.299930	         0.201770	         0.477840	         0.385220	         0.325370	         0.292360	
            42.90	         0.304240	         0.280670	         0.291580	         0.195310	         0.465290	         0.375000	         0.316200	         0.283430	
            43.00	         0.295570	         0.272420	         0.283340	         0.188990	         0.452870	         0.364900	         0.307170	         0.274640	
            43.10	         0.287040	         0.264300	         0.275220	         0.182800	         0.440580	         0.354930	         0.298270	         0.266000	
            43.20	         0.278650	         0.256310	         0.267220	         0.176760	         0.428430	         0.345080	         0.289510	         0.257500	
            43.30	         0.270410	         0.248450	         0.259340	         0.170850	         0.416420	         0.335370	         0.280890	         0.249160	
            43.40	         0.262320	         0.240730	         0.251580	         0.165090	         0.404540	         0.325790	         0.272410	         0.240960	
            43.50	         0.254390	         0.233140	         0.243950	         0.159480	         0.392820	         0.316350	         0.264090	         0.232930	
