            angle	Ex=0.000(d5/2)(d:DCV,p:Vamer)	Ex=0.000(d5/2)(d:DCV,p:KD)	Ex=0.000(d5/2)(d:HSS,p:KD)	Ex=0.120(s1/2)(d:DCV,p:Vamer)	Ex=0.120(s1/2)(d:DCV,p:KD)	Ex=0.120(s1/2)(d:HSS,p:KD)	Ex=0.298(d5/2)(d:DCV,p:Vamer)	Ex=0.298(d5/2)(d:DCV,p:KD)	Ex=0.298(d5/2)(d:HSS,p:KD)	Ex=0.397(s1/2)(d:DCV,p:Vamer)	Ex=0.397(s1/2)(d:DCV,p:KD)	Ex=0.397(s1/2)(d:HSS,p:KD)	
            146.00          0.000109          0.000117          0.000406          0.000155          0.000201          0.000162          0.000141          0.000155          0.000576          0.000610          0.000612          0.000559
            147.00          0.000098          0.000115          0.000386          0.000148          0.000193          0.000147          0.000127          0.000152          0.000547          0.000519          0.000527          0.000490
            148.00          0.000089          0.000114          0.000365          0.000140          0.000183          0.000134          0.000114          0.000151          0.000518          0.000433          0.000450          0.000437
            149.00          0.000081          0.000115          0.000344          0.000130          0.000171          0.000122          0.000104          0.000153          0.000488          0.000354          0.000383          0.000401
            150.00          0.000075          0.000119          0.000322          0.000119          0.000159          0.000113          0.000096          0.000157          0.000458          0.000285          0.000327          0.000383
            151.00          0.000070          0.000123          0.000301          0.000108          0.000146          0.000106          0.000090          0.000163          0.000428          0.000227          0.000285          0.000383
            152.00          0.000067          0.000129          0.000281          0.000097          0.000133          0.000101          0.000085          0.000171          0.000398          0.000182          0.000256          0.000400
            153.00          0.000064          0.000135          0.000261          0.000086          0.000121          0.000099          0.000082          0.000179          0.000369          0.000149          0.000242          0.000432
            154.00          0.000062          0.000142          0.000242          0.000075          0.000109          0.000099          0.000079          0.000188          0.000342          0.000129          0.000241          0.000477
            155.00          0.000061          0.000148          0.000224          0.000065          0.000099          0.000101          0.000077          0.000196          0.000316          0.000122          0.000254          0.000534
            156.00          0.000059          0.000154          0.000207          0.000056          0.000090          0.000105          0.000075          0.000202          0.000292          0.000127          0.000279          0.000599
            157.00          0.000058          0.000160          0.000191          0.000049          0.000083          0.000111          0.000072          0.000208          0.000270          0.000143          0.000316          0.000672
            158.00          0.000056          0.000164          0.000177          0.000043          0.000078          0.000118          0.000069          0.000212          0.000249          0.000169          0.000364          0.000748
            159.00          0.000054          0.000168          0.000164          0.000038          0.000076          0.000127          0.000067          0.000215          0.000230          0.000205          0.000421          0.000826
