            angle	Ex=0.000(d:DCV,3He:XGHS)	Ex=0.000(d:DCV,3He:LLC)	Ex=0.000(d:HSS,3He:XGHS)	Ex=0.740(d:DCV,3He:XGHS)	Ex=0.740(d:DCV,3He:LLC)	Ex=0.740(d:HSS,3He:XGHS)	Ex=4.780(d:DCV,3He:XGHS)	Ex=4.780(d:DCV,3He:LLC)	Ex=4.780(d:HSS,3He:XGHS)	Ex=5.833(d:DCV,3He:XGHS)	Ex=5.833(d:DCV,3He:LLC)	Ex=5.833(d:HSS,3He:XGHS)	Ex=6.358(d:DCV,3He:XGHS)	Ex=6.358(d:DCV,3He:LLC)	Ex=6.358(d:HSS,3He:XGHS)	Ex=6.358(d:DCV,3He:XGHS)	Ex=6.358(d:DCV,3He:LLC)	Ex=6.358(d:HSS,3He:XGHS)	Ex=6.358(d:DCV,3He:XGHS)	Ex=6.358(d:DCV,3He:LLC)	Ex=6.358(d:HSS,3He:XGHS)	
             36.00          0.058091          0.072122          0.087045          0.055626          0.073504          0.085409          0.042749          0.085775          0.070433          0.040073          0.091171          0.065763          0.038954          0.094228          0.063478          0.038954          0.094228          0.063478          0.039196          0.093511          0.063995
             36.50          0.058608          0.075538          0.086313          0.056525          0.077133          0.085181          0.044631          0.088794          0.072120          0.041957          0.093633          0.067703          0.040800          0.096365          0.065502          0.040800          0.096365          0.065502          0.041053          0.095724          0.066002
             37.00          0.058708          0.078545          0.084989          0.056996          0.080370          0.084336          0.046169          0.091641          0.073227          0.043546          0.096005          0.069112          0.042380          0.098452          0.067023          0.042380          0.098452          0.067023          0.042637          0.097878          0.067500
             37.50          0.058444          0.081162          0.083144          0.057084          0.083222          0.082938          0.047358          0.094272          0.073763          0.044826          0.098229          0.069986          0.043672          0.100430          0.068032          0.043672          0.100430          0.068032          0.043928          0.099914          0.068479
             38.00          0.057880          0.083426          0.080860          0.056845          0.085717          0.081062          0.048211          0.096659          0.073757          0.045795          0.100270          0.070340          0.044671          0.102250          0.068536          0.044671          0.102250          0.068536          0.044922          0.101790          0.068951
             38.50          0.057085          0.085386          0.078229          0.056343          0.087894          0.078796          0.048755          0.098795          0.073256          0.046471          0.102100          0.070208          0.045388          0.103890          0.068564          0.045388          0.103890          0.068564          0.045631          0.103480          0.068944
             39.00          0.056128          0.087096          0.075344          0.055645          0.089802          0.076230          0.049028          0.100690          0.072320          0.046882          0.103730          0.069638          0.045846          0.105350          0.068158          0.045846          0.105350          0.068158          0.046080          0.104970          0.068502
             39.50          0.055077          0.088612          0.072298          0.054818          0.091493          0.073458          0.049074          0.102360          0.071015          0.047064          0.105160          0.068689          0.046078          0.106630          0.067371          0.046078          0.106630          0.067371          0.046301          0.106290          0.067680
             40.00          0.053994          0.089990          0.069178          0.053926          0.093021          0.070569          0.048945          0.103840          0.069418          0.047061          0.106420          0.067427          0.046122          0.107740          0.066265          0.046122          0.107740          0.066265          0.046335          0.107440          0.066538
             40.50          0.052935          0.091282          0.066064          0.053025          0.094438          0.067644          0.048691          0.105170          0.067604          0.046918          0.107530          0.065919          0.046021          0.108720          0.064904          0.046021          0.108720          0.064904          0.046226          0.108440          0.065144
